ORDER_ID,RETAILER_ID,INVOICE_DATE,MONTH,DAY,YEAR,PRODUCT_ID,PRICE_PER_UNIT,UNITS_SOLD,OPERATING_MARGIN,SALES_METHOD,PRODUCT_NAME,RETAILER,REGION,STATE,CITY,TOTAL_SALES
1,A00MOHCO,2020-01-01,1,1,2020,20,50.0,1200,0.5,In-store,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,60000.0
7,A00MOHCO,2020-01-07,1,7,2020,20,50.0,1250,0.5,In-store,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,62500.0
13,A00MOHCO,2020-01-25,1,25,2020,20,50.0,1220,0.5,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,61000.0
19,A00MOHCO,2020-01-31,1,31,2020,20,50.0,1200,0.5,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,60000.0
25,A00MOHCO,2020-02-06,2,6,2020,20,60.0,1220,0.5,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,73200.0
31,A00MOHCO,2020-03-04,3,4,2020,20,60.0,1250,0.5,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,75000.0
37,A00MOHCO,2020-03-10,3,10,2020,20,60.0,1275,0.5,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,76500.0
43,A00MOHCO,2020-03-16,3,16,2020,20,60.0,1250,0.5,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,75000.0
49,A00MOHCO,2020-04-19,4,19,2020,20,60.0,1200,0.5,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,72000.0
57,A00MOHCO,2020-04-27,4,27,2020,20,65.0,1150,0.5,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,74750.0
63,A00MOHCO,2020-05-03,5,3,2020,20,65.0,1200,0.5,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,78000.0
69,A00MOHCO,2020-07-19,7,19,2020,20,25.0,900,0.35,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,22500.0
75,A00MOHCO,2020-07-25,7,25,2020,20,25.0,850,0.35,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,21250.0
81,A00MOHCO,2020-07-31,7,31,2020,20,30.0,875,0.35,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,26250.0
87,A00MOHCO,2020-08-06,8,6,2020,20,30.0,900,0.35,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,27000.0
93,A00MOHCO,2020-08-12,8,12,2020,20,30.0,925,0.35,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,27750.0
99,A00MOHCO,2020-08-18,8,18,2020,20,40.0,950,0.35,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,38000.0
105,A00MOHCO,2020-08-24,8,24,2020,20,40.0,950,0.35,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,38000.0
111,A00MOHCO,2020-08-30,8,30,2020,20,40.0,925,0.35,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,37000.0
117,A00MOHCO,2020-09-05,9,5,2020,20,45.0,850,0.35,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,38250.0
123,A00MOHCO,2020-09-11,9,11,2020,20,45.0,800,0.35,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,36000.0
129,A00MOHCO,2020-10-20,10,20,2020,20,45.0,900,0.35,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,40500.0
135,A00MOHCO,2020-10-26,10,26,2020,20,45.0,950,0.35,Outlet,Men's Street Footwear,Amazon,Midwest,Ohio,Columbus,42750.0
141,A00NMAPO,2020-11-01,11,1,2020,20,40.0,775,0.35,Outlet,Men's Street Footwear,Amazon,Northeast,Maine,Portland,31000.0
147,A00NMAPO,2020-11-07,11,7,2020,20,40.0,825,0.35,Outlet,Men's Street Footwear,Amazon,Northeast,Maine,Portland,33000.0
153,A00NMAPO,2020-11-13,11,13,2020,20,50.0,850,0.35,Outlet,Men's Street Footwear,Amazon,Northeast,Maine,Portland,42500.0
159,A00NMAPO,2020-12-25,12,25,2020,20,60.0,875,0.35,Outlet,Men's Street Footwear,Amazon,Northeast,Maine,Portland,52500.0
165,A00NMAPO,2020-12-31,12,31,2020,20,60.0,900,0.4,Outlet,Men's Street Footwear,Amazon,Northeast,Maine,Portland,54000.0
171,A00NMAPO,2021-01-06,1,6,2021,20,60.0,975,0.4,Outlet,Men's Street Footwear,Amazon,Northeast,Maine,Portland,58500.0
177,A00NMAPO,2021-01-12,1,12,2021,20,60.0,1025,0.35,Outlet,Men's Street Footwear,Amazon,Northeast,Maine,Portland,61500.0
183,A00NMAPO,2021-01-18,1,18,2021,20,65.0,975,0.35,Outlet,Men's Street Footwear,Amazon,Northeast,Maine,Portland,63375.0
